season,week,awayTeam,homeTeam,awayPoints,homePoints,Winner,game_date,day_of_week_name,Month
2020,1,Austin Peay,Central Arkansas,17,24,Central Arkansas,2020-08-29,Saturday,8
2020,1,Central Arkansas,UAB,35,45,UAB,2020-09-03,Thursday,9
2020,1,South Alabama,Southern Miss,32,21,South Alabama,2020-09-03,Thursday,9
2020,1,Eastern Kentucky,Marshall,0,59,Marshall,2020-09-05,Saturday,9
2020,1,Middle Tennessee,Army,0,42,Army,2020-09-05,Saturday,9
2020,1,SMU,Texas State,31,24,SMU,2020-09-05,Saturday,9
2020,1,Houston Christian,North Texas,31,57,North Texas,2020-09-05,Saturday,9
2020,1,Arkansas State,Memphis,24,37,Memphis,2020-09-05,Saturday,9
2020,1,Stephen F. Austin,UTEP,14,24,UTEP,2020-09-05,Saturday,9
2020,1,BYU,Navy,55,3,BYU,2020-09-07,Monday,9
2020,2,UAB,Miami,14,31,Miami,2020-09-10,Thursday,9
2020,2,Eastern Kentucky,West Virginia,10,56,West Virginia,2020-09-12,Saturday,9
2020,2,Syracuse,North Carolina,6,31,North Carolina,2020-09-12,Saturday,9
2020,2,Arkansas State,Kansas State,35,31,Arkansas State,2020-09-12,Saturday,9
2020,2,Louisiana,Iowa State,31,14,Louisiana,2020-09-12,Saturday,9
2020,2,Charlotte,App State,20,35,App State,2020-09-12,Saturday,9
2020,2,UL Monroe,Army,7,37,Army,2020-09-12,Saturday,9
2020,2,Duke,Notre Dame,13,27,Notre Dame,2020-09-12,Saturday,9
2020,2,UTSA,Texas State,51,48,UTSA,2020-09-12,Saturday,9
2020,2,Georgia Tech,Florida State,16,13,Georgia Tech,2020-09-12,Saturday,9
2020,2,Austin Peay,Pittsburgh,0,55,Pittsburgh,2020-09-12,Saturday,9
2020,2,Campbell,Georgia Southern,26,27,Georgia Southern,2020-09-12,Saturday,9
2020,2,The Citadel,South Florida,6,27,South Florida,2020-09-12,Saturday,9
2020,2,Missouri State,Oklahoma,0,48,Oklahoma,2020-09-12,Saturday,9
2020,2,Clemson,Wake Forest,37,13,Clemson,2020-09-12,Saturday,9
2020,2,Tulane,South Alabama,27,24,Tulane,2020-09-12,Saturday,9
2020,2,UTEP,Texas,3,59,Texas,2020-09-12,Saturday,9
2020,2,Western Kentucky,Louisville,21,35,Louisville,2020-09-12,Saturday,9
2020,2,Houston Christian,Texas Tech,33,35,Texas Tech,2020-09-12,Saturday,9
2020,2,Coastal Carolina,Kansas,38,23,Coastal Carolina,2020-09-12,Saturday,9
2020,3,Campbell,Coastal Carolina,21,43,Coastal Carolina,2020-09-18,Friday,9
2020,3,Austin Peay,Cincinnati,20,55,Cincinnati,2020-09-19,Saturday,9
2020,3,Syracuse,Pittsburgh,10,21,Pittsburgh,2020-09-19,Saturday,9
2020,3,Navy,Tulane,27,24,Navy,2020-09-19,Saturday,9
2020,3,Liberty,Western Kentucky,30,24,Liberty,2020-09-19,Saturday,9
2020,3,Louisiana,Georgia State,34,31,Louisiana,2020-09-19,Saturday,9
2020,3,Tulsa,Oklahoma State,7,16,Oklahoma State,2020-09-19,Saturday,9
2020,3,Boston College,Duke,26,6,Boston College,2020-09-19,Saturday,9
2020,3,South Florida,Notre Dame,0,52,Notre Dame,2020-09-19,Saturday,9
2020,3,UCF,Georgia Tech,49,21,UCF,2020-09-19,Saturday,9
2020,3,Stephen F. Austin,UTSA,10,24,UTSA,2020-09-19,Saturday,9
2020,3,Troy,Middle Tennessee,47,14,Troy,2020-09-19,Saturday,9
2020,3,App State,Marshall,7,17,Marshall,2020-09-19,Saturday,9
2020,3,The Citadel,Clemson,0,49,Clemson,2020-09-19,Saturday,9
2020,3,SMU,North Texas,65,35,SMU,2020-09-19,Saturday,9
2020,3,Louisiana Tech,Southern Miss,31,30,Louisiana Tech,2020-09-19,Saturday,9
2020,3,Texas State,UL Monroe,38,17,Texas State,2020-09-19,Saturday,9
2020,3,Miami,Louisville,47,34,Miami,2020-09-19,Saturday,9
2020,3,Wake Forest,NC State,42,45,NC State,2020-09-19,Saturday,9
2020,3,Abilene Christian,UTEP,13,17,UTEP,2020-09-19,Saturday,9
2020,4,UAB,South Alabama,42,10,UAB,2020-09-24,Thursday,9
2020,4,Middle Tennessee,UTSA,35,37,UTSA,2020-09-25,Friday,9
2020,4,Kentucky,Auburn,13,29,Auburn,2020-09-26,Saturday,9
2020,4,Campbell,App State,21,52,App State,2020-09-26,Saturday,9
2020,4,Georgia Tech,Syracuse,20,37,Syracuse,2020-09-26,Saturday,9
2020,4,Kansas State,Oklahoma,38,35,Kansas State,2020-09-26,Saturday,9
2020,4,Florida,Ole Miss,51,35,Florida,2020-09-26,Saturday,9
2020,4,Louisville,Pittsburgh,20,23,Pittsburgh,2020-09-26,Saturday,9
2020,4,Georgia Southern,Louisiana,18,20,Louisiana,2020-09-26,Saturday,9
2020,4,UCF,East Carolina,51,28,UCF,2020-09-26,Saturday,9
2020,4,Eastern Kentucky,The Citadel,37,14,Eastern Kentucky,2020-09-26,Saturday,9
2020,4,Florida International,Liberty,34,36,Liberty,2020-09-26,Saturday,9
2020,4,Iowa State,TCU,37,34,Iowa State,2020-09-26,Saturday,9
2020,4,UTEP,UL Monroe,31,6,UTEP,2020-09-26,Saturday,9
2020,4,West Virginia,Oklahoma State,13,27,Oklahoma State,2020-09-26,Saturday,9
2020,4,Mississippi State,LSU,44,34,Mississippi State,2020-09-26,Saturday,9
2020,4,Texas,Texas Tech,63,56,Texas,2020-09-26,Saturday,9
2020,4,Army,Cincinnati,10,24,Cincinnati,2020-09-26,Saturday,9
2020,4,Georgia,Arkansas,37,10,Georgia,2020-09-26,Saturday,9
2020,4,Duke,Virginia,20,38,Virginia,2020-09-26,Saturday,9
2020,4,Texas State,Boston College,21,24,Boston College,2020-09-26,Saturday,9
2020,4,Alabama,Missouri,38,19,Alabama,2020-09-26,Saturday,9
2020,4,Houston Christian,Louisiana Tech,38,66,Louisiana Tech,2020-09-26,Saturday,9
2020,4,Tulane,Southern Miss,66,24,Tulane,2020-09-26,Saturday,9
2020,4,Stephen F. Austin,SMU,7,50,SMU,2020-09-26,Saturday,9
2020,4,Tennessee,South Carolina,31,27,Tennessee,2020-09-26,Saturday,9
2020,4,Vanderbilt,Texas A&M,12,17,Texas A&M,2020-09-26,Saturday,9
2020,4,Kansas,Baylor,14,47,Baylor,2020-09-26,Saturday,9
2020,4,Florida State,Miami,10,52,Miami,2020-09-26,Saturday,9
2020,4,Missouri State,Central Arkansas,20,27,Central Arkansas,2020-09-26,Saturday,9
2020,4,NC State,Virginia Tech,24,45,Virginia Tech,2020-09-26,Saturday,9
2020,4,Troy,BYU,7,48,BYU,2020-09-26,Saturday,9
2020,5,Campbell,Wake Forest,14,66,Wake Forest,2020-10-02,Friday,10
2020,5,Louisiana Tech,BYU,14,45,BYU,2020-10-02,Friday,10
2020,5,Missouri,Tennessee,12,35,Tennessee,2020-10-03,Saturday,10
2020,5,South Carolina,Florida,24,38,Florida,2020-10-03,Saturday,10
2020,5,Baylor,West Virginia,21,27,West Virginia,2020-10-03,Saturday,10
2020,5,NC State,Pittsburgh,30,29,NC State,2020-10-03,Saturday,10
2020,5,TCU,Texas,33,31,TCU,2020-10-03,Saturday,10
2020,5,Arkansas State,Coastal Carolina,23,52,Coastal Carolina,2020-10-03,Saturday,10
2020,5,East Carolina,Georgia State,29,49,Georgia State,2020-10-03,Saturday,10
2020,5,UTSA,UAB,13,21,UAB,2020-10-03,Saturday,10
2020,5,North Alabama,Liberty,7,28,Liberty,2020-10-03,Saturday,10
2020,5,Abilene Christian,Army,23,55,Army,2020-10-03,Saturday,10
2020,5,Houston Christian,Eastern Kentucky,33,30,Houston Christian,2020-10-03,Saturday,10
2020,5,Oklahoma State,Kansas,47,7,Oklahoma State,2020-10-03,Saturday,10
2020,5,Texas A&M,Alabama,24,52,Alabama,2020-10-03,Saturday,10
2020,5,North Carolina,Boston College,26,22,North Carolina,2020-10-03,Saturday,10
2020,5,Central Arkansas,North Dakota State,28,39,North Dakota State,2020-10-03,Saturday,10
2020,5,South Florida,Cincinnati,7,28,Cincinnati,2020-10-03,Saturday,10
2020,5,Memphis,SMU,27,30,SMU,2020-10-03,Saturday,10
2020,5,Texas Tech,Kansas State,21,31,Kansas State,2020-10-03,Saturday,10
2020,5,Charlotte,Florida Atlantic,17,21,Florida Atlantic,2020-10-03,Saturday,10
2020,5,Ole Miss,Kentucky,42,41,Ole Miss,2020-10-03,Saturday,10
2020,5,Jacksonville State,Florida State,24,41,Florida State,2020-10-03,Saturday,10
2020,5,Virginia Tech,Duke,38,31,Virginia Tech,2020-10-03,Saturday,10
2020,5,Western Kentucky,Middle Tennessee,20,17,Western Kentucky,2020-10-03,Saturday,10
2020,5,West Texas A&M,Stephen F. Austin,6,34,Stephen F. Austin,2020-10-03,Saturday,10
2020,5,Navy,Air Force,7,40,Air Force,2020-10-03,Saturday,10
2020,5,Georgia Southern,UL Monroe,35,30,Georgia Southern,2020-10-03,Saturday,10
2020,5,Oklahoma,Iowa State,30,37,Iowa State,2020-10-03,Saturday,10
