season,week,awayTeam,homeTeam,awayPoints,homePoints,Winner,game_date,day_of_week_name,Month
2020,1,Austin Peay,Central Arkansas,17.0,24.0,Central Arkansas,2020-08-29,Saturday,8
2020,1,Central Arkansas,UAB,35.0,45.0,UAB,2020-09-03,Thursday,9
2020,1,South Alabama,Southern Miss,32.0,21.0,South Alabama,2020-09-03,Thursday,9
2020,1,Eastern Kentucky,Marshall,0.0,59.0,Marshall,2020-09-05,Saturday,9
2020,1,Middle Tennessee,Army,0.0,42.0,Army,2020-09-05,Saturday,9
2020,1,SMU,Texas State,31.0,24.0,SMU,2020-09-05,Saturday,9
2020,1,Houston Christian,North Texas,31.0,57.0,North Texas,2020-09-05,Saturday,9
2020,1,Arkansas State,Memphis,24.0,37.0,Memphis,2020-09-05,Saturday,9
2020,1,Stephen F. Austin,UTEP,14.0,24.0,UTEP,2020-09-05,Saturday,9
2020,1,BYU,Navy,55.0,3.0,BYU,2020-09-07,Monday,9
2020,2,UAB,Miami,14.0,31.0,Miami,2020-09-10,Thursday,9
2020,2,Syracuse,North Carolina,6.0,31.0,North Carolina,2020-09-12,Saturday,9
2020,2,Louisiana,Iowa State,31.0,14.0,Louisiana,2020-09-12,Saturday,9
2020,2,Arkansas State,Kansas State,35.0,31.0,Arkansas State,2020-09-12,Saturday,9
2020,2,Eastern Kentucky,West Virginia,10.0,56.0,West Virginia,2020-09-12,Saturday,9
2020,2,Charlotte,App State,20.0,35.0,App State,2020-09-12,Saturday,9
2020,2,UL Monroe,Army,7.0,37.0,Army,2020-09-12,Saturday,9
2020,2,Duke,Notre Dame,13.0,27.0,Notre Dame,2020-09-12,Saturday,9
2020,2,UTSA,Texas State,51.0,48.0,UTSA,2020-09-12,Saturday,9
2020,2,Austin Peay,Pittsburgh,0.0,55.0,Pittsburgh,2020-09-12,Saturday,9
2020,2,Georgia Tech,Florida State,16.0,13.0,Georgia Tech,2020-09-12,Saturday,9
2020,2,Campbell,Georgia Southern,26.0,27.0,Georgia Southern,2020-09-12,Saturday,9
2020,2,Missouri State,Oklahoma,0.0,48.0,Oklahoma,2020-09-12,Saturday,9
2020,2,The Citadel,South Florida,6.0,27.0,South Florida,2020-09-12,Saturday,9
2020,2,Clemson,Wake Forest,37.0,13.0,Clemson,2020-09-12,Saturday,9
2020,2,Tulane,South Alabama,27.0,24.0,Tulane,2020-09-12,Saturday,9
2020,2,Houston Christian,Texas Tech,33.0,35.0,Texas Tech,2020-09-12,Saturday,9
2020,2,UTEP,Texas,3.0,59.0,Texas,2020-09-12,Saturday,9
2020,2,Western Kentucky,Louisville,21.0,35.0,Louisville,2020-09-12,Saturday,9
2020,2,Coastal Carolina,Kansas,38.0,23.0,Coastal Carolina,2020-09-12,Saturday,9
2020,3,Campbell,Coastal Carolina,21.0,43.0,Coastal Carolina,2020-09-18,Friday,9
2020,3,Austin Peay,Cincinnati,20.0,55.0,Cincinnati,2020-09-19,Saturday,9
2020,3,Boston College,Duke,26.0,6.0,Boston College,2020-09-19,Saturday,9
2020,3,Tulsa,Oklahoma State,7.0,16.0,Oklahoma State,2020-09-19,Saturday,9
2020,3,Louisiana,Georgia State,34.0,31.0,Louisiana,2020-09-19,Saturday,9
2020,3,Liberty,Western Kentucky,30.0,24.0,Liberty,2020-09-19,Saturday,9
2020,3,Syracuse,Pittsburgh,10.0,21.0,Pittsburgh,2020-09-19,Saturday,9
2020,3,Navy,Tulane,27.0,24.0,Navy,2020-09-19,Saturday,9
2020,3,South Florida,Notre Dame,0.0,52.0,Notre Dame,2020-09-19,Saturday,9
2020,3,UCF,Georgia Tech,49.0,21.0,UCF,2020-09-19,Saturday,9
2020,3,App State,Marshall,7.0,17.0,Marshall,2020-09-19,Saturday,9
2020,3,Troy,Middle Tennessee,47.0,14.0,Troy,2020-09-19,Saturday,9
2020,3,Stephen F. Austin,UTSA,10.0,24.0,UTSA,2020-09-19,Saturday,9
2020,3,The Citadel,Clemson,0.0,49.0,Clemson,2020-09-19,Saturday,9
2020,3,SMU,North Texas,65.0,35.0,SMU,2020-09-19,Saturday,9
2020,3,Miami,Louisville,47.0,34.0,Miami,2020-09-19,Saturday,9
2020,3,Texas State,UL Monroe,38.0,17.0,Texas State,2020-09-19,Saturday,9
2020,3,Louisiana Tech,Southern Miss,31.0,30.0,Louisiana Tech,2020-09-19,Saturday,9
2020,3,Wake Forest,NC State,42.0,45.0,NC State,2020-09-19,Saturday,9
2020,3,Abilene Christian,UTEP,13.0,17.0,UTEP,2020-09-19,Saturday,9
2020,4,UAB,South Alabama,42.0,10.0,UAB,2020-09-24,Thursday,9
2020,4,Middle Tennessee,UTSA,35.0,37.0,UTSA,2020-09-25,Friday,9
2020,4,Campbell,App State,21.0,52.0,App State,2020-09-26,Saturday,9
2020,4,Kentucky,Auburn,13.0,29.0,Auburn,2020-09-26,Saturday,9
2020,4,Georgia Southern,Louisiana,18.0,20.0,Louisiana,2020-09-26,Saturday,9
2020,4,Louisville,Pittsburgh,20.0,23.0,Pittsburgh,2020-09-26,Saturday,9
2020,4,Florida,Ole Miss,51.0,35.0,Florida,2020-09-26,Saturday,9
2020,4,Kansas State,Oklahoma,38.0,35.0,Kansas State,2020-09-26,Saturday,9
2020,4,Georgia Tech,Syracuse,20.0,37.0,Syracuse,2020-09-26,Saturday,9
2020,4,UCF,East Carolina,51.0,28.0,UCF,2020-09-26,Saturday,9
2020,4,Eastern Kentucky,The Citadel,37.0,14.0,Eastern Kentucky,2020-09-26,Saturday,9
2020,4,Florida International,Liberty,34.0,36.0,Liberty,2020-09-26,Saturday,9
2020,4,Iowa State,TCU,37.0,34.0,Iowa State,2020-09-26,Saturday,9
2020,4,UTEP,UL Monroe,31.0,6.0,UTEP,2020-09-26,Saturday,9
2020,4,Army,Cincinnati,10.0,24.0,Cincinnati,2020-09-26,Saturday,9
2020,4,Texas,Texas Tech,63.0,56.0,Texas,2020-09-26,Saturday,9
2020,4,West Virginia,Oklahoma State,13.0,27.0,Oklahoma State,2020-09-26,Saturday,9
2020,4,Mississippi State,LSU,44.0,34.0,Mississippi State,2020-09-26,Saturday,9
2020,4,Duke,Virginia,20.0,38.0,Virginia,2020-09-26,Saturday,9
2020,4,Georgia,Arkansas,37.0,10.0,Georgia,2020-09-26,Saturday,9
2020,4,Texas State,Boston College,21.0,24.0,Boston College,2020-09-26,Saturday,9
2020,4,Stephen F. Austin,SMU,7.0,50.0,SMU,2020-09-26,Saturday,9
2020,4,Alabama,Missouri,38.0,19.0,Alabama,2020-09-26,Saturday,9
2020,4,Tulane,Southern Miss,66.0,24.0,Tulane,2020-09-26,Saturday,9
2020,4,Houston Christian,Louisiana Tech,38.0,66.0,Louisiana Tech,2020-09-26,Saturday,9
2020,4,Florida State,Miami,10.0,52.0,Miami,2020-09-26,Saturday,9
2020,4,Tennessee,South Carolina,31.0,27.0,Tennessee,2020-09-26,Saturday,9
2020,4,Kansas,Baylor,14.0,47.0,Baylor,2020-09-26,Saturday,9
2020,4,Vanderbilt,Texas A&M,12.0,17.0,Texas A&M,2020-09-26,Saturday,9
2020,4,Missouri State,Central Arkansas,20.0,27.0,Central Arkansas,2020-09-26,Saturday,9
